timestamp,symbol,current_spread,target_spread,percent_diff,status,dws,depth_1pct_display
2026-02-10 19:07:13,AAVE_USDT,0.273,0.3,-9.0,Healthy,0.192,$1.4K
2026-02-10 19:07:16,ADA_USDT,0.298,0.26,14.62,Healthy,0.3292,$1337.5K
2026-02-10 19:07:19,ALGO_USDT,2.0166,2.0,0.83,Healthy,1.4525,$2604.7K
2026-02-10 19:07:23,BCH_USDT,0.281,0.26,8.08,Healthy,0.2358,$0.4K
2026-02-10 19:07:26,BNB_USDT,0.302,0.3,0.67,Healthy,0.1688,$0.9K
2026-02-10 19:07:29,BONK_USDT,2.028,2.0,1.4,Healthy,1.4325,$16776660.0K
2026-02-10 19:07:31,BTC_USDT,0.169,0.2,-15.5,Healthy,0.1323,$0.1K
2026-02-10 19:07:34,CAKE_USDT,0.38,0.3,26.67,Healthy,0.4616,$30.3K
2026-02-10 19:07:37,CFX_USDT,1.98,2.0,-1.0,Healthy,1.211,$3520.8K
2026-02-10 19:07:40,DASH_USDT,2.0124,2.0,0.62,Healthy,1.4316,$8.3K
2026-02-10 19:07:43,DOT_USDT,0.346,0.26,33.08,Healthy,0.4719,$66.7K
2026-02-10 19:07:45,DOGE_USDT,0.291,0.26,11.92,Healthy,0.2023,$10592.4K
2026-02-10 19:07:48,ETH_USDT,0.25,0.25,0.0,Healthy,0.1754,$1.2K
2026-02-10 19:07:51,FARTCOIN_USDT,1.9,2.0,-5.0,Healthy,1.1695,$1179.7K
2026-02-10 19:07:54,FLOKI_USDT,0.574,0.5,14.8,Healthy,0.4316,$5207150.0K
2026-02-10 19:07:57,HYPE_USDT,1.831,2.0,-8.45,Healthy,1.158,$0.7K
2026-02-10 19:08:00,LINK_USDT,0.282,0.26,8.46,Healthy,0.2161,$112.2K
2026-02-10 19:08:02,LSK_USDT,1.567,1.5,4.47,Healthy,1.2048,$1159.8K
2026-02-10 19:08:05,LTC_USDT,0.268,0.3,-10.67,Healthy,0.1551,$11.6K
2026-02-10 19:08:08,NEAR_USDT,2.0199,2.0,0.99,Healthy,1.4304,$81.7K
2026-02-10 19:08:11,NOS_USDT,2.019,2.0,0.95,Healthy,1.3669,$43.7K
2026-02-10 19:08:14,PEPE_USDT,0.632,0.5,26.4,Healthy,0.4346,$1943780.0K
2026-02-10 19:08:17,POL_USDT,0.443,0.5,-11.4,Healthy,0.34,$2495.8K
2026-02-10 19:08:20,QDX_USDT,7.116,10.0,-28.84,Healthy,8.9658,$128.9K
2026-02-10 19:08:23,RENDER_USDT,2.0108,2.0,0.54,Healthy,1.4145,$39.3K
2026-02-10 19:08:26,Sonic_USDT,2.0202,2.0,1.01,Healthy,1.4422,$926.2K
2026-02-10 19:08:29,SHIB_USDT,0.406,0.4,1.5,Healthy,0.3097,$2940300.0K
2026-02-10 19:08:31,SLP_USDT,2.027,2.0,1.35,Healthy,1.4673,$115204.6K
2026-02-10 19:08:34,SOL_USDT,0.251,0.25,0.4,Healthy,0.3719,$0.8K
2026-02-10 19:08:37,STRK_USDT,2.0268,2.0,1.34,Healthy,1.3956,$270.9K
2026-02-10 19:08:40,SUI_USDT,2.00142,2.0,0.07,Healthy,1.461,$32.6K
2026-02-10 19:08:43,TON_USDT,0.03,0.3,-90.0,Warning,0.3793,$4.1K
2026-02-10 19:08:46,TRX_USDT,0.302,0.3,0.67,Healthy,0.1929,$13736.7K
2026-02-10 19:08:49,USDC_USDT,0.0299,0.02,49.5,Healthy,0.0661,$2162.7K
2026-02-10 19:08:51,WIF_USDT,2.0306,2.0,1.53,Healthy,1.5043,$390.8K
2026-02-10 19:08:54,XLM_USDT,0.37,0.3,23.33,Healthy,0.5023,$906.4K
2026-02-10 19:08:57,XRP_USDT,0.292,0.3,-2.67,Healthy,0.1828,$1025.2K
2026-02-10 19:09:00,XYO_USDT,1.234,1.0,23.4,Healthy,1.8871,$380.5K
2026-02-10 19:09:03,ZKSync_USDT,2.011,2.0,0.55,Healthy,1.4232,$1610.0K
2026-02-10 19:09:05,BTC_NGN,0.5,0.5,0.0,Healthy,0.2717,$0.2K
2026-02-10 19:09:09,USDT_NGN,0.188,0.52,-63.85,Warning,0.1486,$20670.1K
2026-02-10 19:09:11,QDX_NGN,4.761,10.0,-52.39,Warning,3.1455,$286.4K
2026-02-10 19:09:14,ETH_NGN,0.473,0.5,-5.4,Healthy,0.2611,$4.8K
2026-02-10 19:09:17,TRX_NGN,0.464,0.5,-7.2,Healthy,0.2606,$13017.0K
2026-02-10 19:09:20,XRP_NGN,0.843,0.5,68.6,Healthy,0.4493,$446.4K
2026-02-10 19:09:23,DASH_NGN,0.4,0.5,-20.0,Healthy,0.2767,$5.8K
2026-02-10 19:09:26,LTC_NGN,0.501,0.5,0.2,Healthy,0.2762,$23.2K
2026-02-10 19:09:29,SOL_NGN,0.498,0.5,-0.4,Healthy,0.276,$12.5K
2026-02-10 19:09:31,USDC_NGN,0.3,0.5,-40.0,Healthy,0.2933,$8545.6K
